playlist_index,original_title,original_artists,candidate_url,candidate_track_id,candidate_title,candidate_artists,candidate_key,candidate_key_camelot,candidate_year,candidate_bpm,candidate_label,candidate_genres,candidate_release,candidate_release_date,title_sim,artist_sim,base_score,bonus_year,bonus_key,final_score,guard_ok,reject_reason,search_query_index,search_query_text,candidate_index,elapsed_ms,winner
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/no-dancers/12074991,12074991,No Dancers Adam Port Remix,"Cubicolor, Adam Port, Dancers Adam Port",F# Minor,11A,2019,120,Anjunadeep,"Melodic House & Techno, Afro House, Melodic House & Techno|Melodic House",,2019-06-18,27.77777777777777,100,60.3,0,0,58.3,N,guard_short_title_high_floor,3,Planet 9 Adam Port,13,3074,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/white-noise-romantica/13602014,13602014,White Noise Romantica Original Mix,Adam Port,C Major,8B,2020,121,Keinemusik,"Melodic House & Techno, Afro House",,2020-05-29,25.80645161290323,100,59.2,0,0,28.2,N,guard_short_title_high_floor,3,Planet 9 Adam Port,15,2478,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/say-what-feat-chuala/19657454,19657454,Say What (feat. Chuala) feat. Chuala,"&ME, Rampa, Adam Port, Keinemusik, chuala",C Major,8B,2024,120,Keinemusik,"Afro House, Afro House|Afro Melodic, Afro House|Afro / Latin",,2024-10-25,33.33333333333333,100,63.3,0,0,47.3,N,guard_short_title_high_floor,3,Planet 9 Adam Port,17,2572,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/move/19623884,19623884,Move Original Mix,"Adam Port, Keinemusik, Camila Cabello, Orso, Stryv, Malachiii",Ab Minor,1A,2024,120,Keinemusik under exclusive license to Interscope Records,Afro House,,2024-10-11,14.285714285714292,100,48.6,0,0,16.6,N,guard_short_title_high_floor,3,Planet 9 Adam Port,24,1433,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/thandaza-feat-alan-dixon-arabic-piano/18778205,18778205,"Thandaza (feat. Alan Dixon, Arabic Piano) Original Mix","&ME, Rampa, Adam Port, Keinemusik, Alan Dixon, Arabic Piano",Gb Minor,11A,2024,123,Keinemusik,"Melodic House & Techno, Afro House, Afro House|Afro Melodic, Melodic House & Techno|Melodic House",,2024-03-15,22.22222222222223,100,52.6,0,0,20.6,N,guard_short_title_high_floor,3,Planet 9 Adam Port,22,1988,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/move-feat-malachiii/19119572,19119572,Move (feat. Malachiii) feat. Malachiii,"Adam Port, Keinemusik, Stryv, Malachiii",Ab Minor,1A,2024,120,Keinemusik,"Afro House|Afro Melodic, Afro House, Melodic House & Techno",,2024-06-07,14.285714285714292,100,52.9,0,0,36.9,N,guard_short_title_high_floor,3,Planet 9 Adam Port,18,3098,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/see-you-again/20965348,20965348,See You Again Original Mix,"&ME, Rampa, Adam Port, Keinemusik, Sevdaliza",Bb Minor,3A,2025,120,Keinemusik,"Melodic House & Techno, Melodic House & Techno|Melodic House",,2025-08-15,26.086956521739125,100,59.3,0,0,25.3,N,guard_short_title_high_floor,3,Planet 9 Adam Port,23,2103,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/crazy-for-it-feat-vinson/20529591,20529591,Crazy For It (feat. Vinson) feat. Vinson,"Boys Noize, &ME, Rampa, Adam Port, Keinemusik, Vinson",Ab Minor,1A,2025,120,Keinemusik,Melodic House & Techno,,2025-05-30,36.36363636363637,100,59.8,0,0,83.8,N,guard_short_title_high_floor,3,Planet 9 Adam Port,20,3073,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/planet-9/11126850,11126850,Planet 9 Original Mix,Adam Port,Eb Major,5B,2018,122,Diynamic,"Melodic House & Techno, Afro House",,2018-10-19,100.0,100,100.0,0,0,70.5,Y,,3,Planet 9 Adam Port,16,3676,Y
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/your-voice/16771858,16771858,Your Voice Adam Port Remix,"Awen, Caiiro, Adam Port, Voice Adam Port",Gb Minor,11A,2022,122,Madorasindahouse Records,"Melodic House & Techno, Afro House, Afro House|Afro Melodic",,2022-08-19,16.66666666666667,100,54.2,0,0,52.2,N,guard_short_title_high_floor,3,Planet 9 Adam Port,25,1999,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/all-i-got/19487594,19487594,All I Got Original Mix,"Adam Port, Keinemusik, Masšh, Ninae",C Minor,5A,2024,121,Madorasindahouse Records,"Afro House|Afro Melodic, Afro House",,2024-09-27,21.05263157894737,100,56.6,0,0,22.6,N,guard_short_title_high_floor,3,Planet 9 Adam Port,21,2854,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/planet-9-original-mix/12361804,12361804,Planet 9 Original Mix,Adam Port,D# Minor,2A,2019,122,Stil Vor Talent,"Melodic House & Techno, Organic House, Afro House, Afro House|Afro / Latin",,2019-08-02,100.0,100,100.0,0,0,70.5,Y,,4,Adam Port Planet 9,3,2353,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/daughters-bawrut-remix/10479648,10479648,Daughters Bawrut Remix,"C.A.R., Bawrut, Daughters Bawrut",Eb Major,5B,2018,122,Ran$om Note,"Deep House, House, Minimal / Deep Tech",,2018-05-18,18.75,42,29.2,0,0,27.2,N,guard_low_artist_high_title_required,4,Adam Port Planet 9,6,2636,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/november-original-mix/11126851,11126851,November Original Mix,Adam Port,E Major,12B,2018,118,Diynamic,"Afro House, Melodic House & Techno, Organic House",,2018-10-19,22.22222222222223,100,57.2,0,0,26.2,N,guard_short_title_high_floor,4,Adam Port Planet 9,4,3672,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/planet-9-original-mix/11126850,11126850,Planet 9 Original Mix,Adam Port,Eb Major,5B,2018,122,Diynamic,"Melodic House & Techno, Afro House",,2018-10-19,100.0,100,100.0,0,0,70.5,Y,,4,Adam Port Planet 9,2,3954,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/spinning-plates-adam-port-remix/4123686,4123686,Spinning Plates Adam Port Remix,"Nick Curly, Adam Port, Plates Adam Port",A Minor,8A,2013,123,Defected,"Tech House, House, House|Soulful",,2013-02-25,29.268292682926827,100,61.1,0,0,59.1,N,guard_short_title_high_floor,5,Planet 9 (F) Adam Port,5,115,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/adam-port-sonnenfinsternis-original-mix/8049671,8049671,Sonnenfinsternis Original Mix,Adam Port,G Major,9B,2016,90,Keinemusik,"Tech House, House",,2016-06-24,23.07692307692308,100,57.7,0,0,82.7,N,guard_short_title_high_floor,5,Planet 9 (F) Adam Port,3,529,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/spinning-plates-adam-port-remix/4876532,4876532,Spinning Plates Adam Port Remix,"Nick Curly, Adam Port, Plates Adam Port",A Minor,8A,2013,123,Body Music,"Tech House, House",,2013-11-07,29.268292682926827,100,61.1,0,0,59.1,N,guard_short_title_high_floor,5,Planet 9 (F) Adam Port,6,1289,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/november/11126851,11126851,November Original Mix,Adam Port,E Major,12B,2018,118,Diynamic,"Afro House, Melodic House & Techno, Organic House",,2018-10-19,22.22222222222223,100,57.2,0,0,26.2,N,guard_short_title_high_floor,6,Adam Port Planet 9 (F),2,1346,N
